ID,Week,Date,Favorite,Underdog,Home Favorite,Fav ML,Underdog ML,SC Fav win pct ,Spread,Favorite wins,Favorite losses,Favorite Win Pct,Underdog Wins,Underdog Losses,Underdog Win Pct,Favorite Rank,Underdog Rank,Time,Over,Day of Week,Holdout Flag,Fav points scored,Underdog points scored,Actl PD,Actl Fav Win,Actl over,Over Hit,Fav Spread Hit,OT
1,1,9/7/23,KC,DET,1,-250,205,66.2,4.5,0,0,0,0,0,0,0,0,8:20,53,Thursday,,20,21,-1,0,41,0,0,0
2,1,9/10/23,ATL,CAR,1,-178,150,55.9,3.5,0,0,0,0,0,0,0,0,1:00,39.5,Sunday,,24,10,14,1,34,0,1,0
3,1,9/10/23,CIN,CLE,0,-140,118,59.2,2.5,0,0,0,0,0,0,0,0,1:00,47.5,Sunday,,3,24,-21,0,27,0,0,0
4,1,9/10/23,JAX,IND,0,-225,185,64.5,5,0,0,0,0,0,0,0,0,1:00,45,Sunday,,31,21,10,1,52,1,1,0
5,1,9/10/23,MIN,TB,1,-260,210,67.1,6,0,0,0,0,0,0,0,0,1:00,45.5,Sunday,,17,20,-3,0,37,0,0,0
6,1,9/10/23,NO,TEN,1,-165,140,53.4,3,0,0,0,0,0,0,0,0,1:00,40.5,Sunday,,16,15,1,1,31,0,0,0
7,1,9/10/23,SF,PIT,0,-135,115,55.9,2.5,0,0,0,0,0,0,0,0,1:00,41,Sunday,,30,7,23,1,37,0,1,0
8,1,9/10/23,WAS,ARI,1,-320,250,63.8,7,0,0,0,0,0,0,0,0,1:00,38,Sunday,,20,16,4,1,36,0,0,0
9,1,9/10/23,BAL,HOU,1,-480,360,73.5,10,0,0,0,0,0,0,0,0,1:00,43.5,Sunday,,25,9,16,1,34,0,1,0
10,1,9/10/23,CHI,GB,1,-115,-105,51.5,1,0,0,0,0,0,0,0,0,4:25,43,Sunday,,20,38,-18,0,58,1,0,0
11,1,9/10/23,DEN,LV,1,-190,158,59.1,3.5,0,0,0,0,0,0,0,0,4:25,44,Sunday,,16,17,-1,0,33,0,0,0
